id_reserva,id_cliente,data_checkin,data_checkout,valor_total
180,85,2024-02-11,2024-03-13,6605.66
181,420,2024-01-16,2024-04-17,250.33
182,1316,2023-11-09,2024-05-15,6282.28
183,3915,2024-02-07,2024-03-02,679.33
184,1800,2023-11-28,2024-06-10,6587.16
185,2791,2024-07-22,2024-09-03,5204.11
186,4746,2023-11-16,2024-03-06,5350.97
187,858,2024-08-05,2024-08-06,2515.35
188,1356,2024-08-13,2024-09-06,987.39
189,3683,2024-08-20,2024-10-01,1535.9
190,904,2023-10-20,2024-01-06,5174.96
191,4541,2024-07-11,2024-08-23,5503.52
192,1715,2024-04-22,2024-04-28,1513.24
193,4909,2023-10-14,2024-03-13,8336.17
194,2260,2023-10-02,2023-11-12,761.21
195,4699,2024-05-30,2024-07-01,1212.58
196,1366,2024-09-25,2024-10-02,245.15
197,400,2024-07-13,2024-08-07,7067.26
198,103,2024-09-22,2024-09-23,975.93
199,4801,2024-06-25,2024-09-19,2052.14
200,1347,2024-06-12,2024-07-02,2050.46
201,2100,2024-02-28,2024-04-01,5925.05
202,2140,2024-05-21,2024-07-17,8371.58
203,3139,2023-10-05,2023-11-27,7788.59
204,2842,2024-06-17,2024-08-19,3800.07
205,430,2023-11-18,2023-12-24,8518.84
206,2611,2023-11-25,2024-08-05,4385.64
207,573,2023-12-16,2023-12-30,6065.41
208,3100,2024-07-19,2024-09-01,1582.52
209,2170,2024-05-21,2024-06-24,9069.5
210,3952,2024-01-30,2024-03-05,2387.81
211,1882,2024-02-04,2024-07-13,9191.8
212,1789,2024-04-12,2024-05-12,3603.02
213,1527,2024-07-04,2024-09-27,7794.87
214,4437,2024-09-24,2024-10-01,3279.84
215,546,2023-12-22,2024-06-29,5153.42
216,13,2024-06-12,2024-06-21,4058.22
217,3257,2024-08-22,2024-09-11,6018.48
218,4827,2024-03-27,2024-05-13,3794.03
219,4740,2024-04-19,2024-09-13,2169.76
220,3389,2024-02-06,2024-06-13,4929.86
221,4424,2023-11-09,2024-06-26,9641.52
222,2463,2024-09-12,2024-09-24,9860.66
223,4466,2024-05-04,2024-08-11,9235.07
224,2783,2024-08-14,2024-09-27,3533.42
225,1611,2024-01-24,2024-04-28,7069.28
226,3628,2024-05-01,2024-05-15,7188.5
227,43,2024-09-04,2024-10-06,2401.0
228,4307,2023-10-29,2024-07-17,4247.61
229,2040,2024-02-10,2024-06-09,2676.44
230,4131,2024-01-23,2024-03-27,3282.71
231,2628,2024-05-15,2024-07-24,7090.17
232,2489,2024-01-14,2024-05-11,3530.17
233,2059,2024-06-21,2024-07-12,8102.88
234,1177,2024-02-04,2024-09-01,2946.9
235,1599,2024-03-22,2024-09-07,9336.81
236,1681,2024-07-20,2024-08-08,3428.11
237,3475,2024-03-11,2024-03-22,1790.15
238,3013,2024-02-08,2024-03-26,6015.51
239,4011,2023-10-02,2024-09-17,8304.26
240,1963,2024-02-06,2024-07-12,3052.55
241,3367,2024-06-10,2024-08-04,4789.94
242,2298,2024-06-01,2024-08-28,7135.27
243,2254,2024-05-14,2024-08-18,1763.38
244,3982,2023-12-02,2024-06-18,9848.37
245,2777,2023-11-01,2023-11-01,4078.47
246,2321,2023-10-14,2024-08-11,8468.74
247,64,2024-06-25,2024-10-01,3686.68
248,3922,2024-05-15,2024-07-27,7975.3
249,218,2024-05-25,2024-10-04,4935.32
250,2089,2024-01-25,2024-06-05,4469.46
251,4278,2024-08-17,2024-08-22,9336.71
252,1699,2023-10-31,2024-04-06,3116.58
253,161,2023-12-23,2024-08-23,8768.1
254,4243,2024-02-21,2024-06-11,1686.73
255,1207,2024-02-08,2024-03-16,6636.65
256,2645,2023-11-16,2024-07-01,2385.18
257,4763,2023-10-22,2024-09-22,8552.98
258,2737,2024-08-10,2024-09-16,8299.97
259,4123,2024-01-05,2024-09-03,9940.62
260,4367,2024-08-22,2024-09-29,5976.74
261,3412,2023-12-23,2024-09-24,4814.03
262,3659,2024-08-25,2024-09-08,7586.37
263,3414,2023-09-29,2024-07-11,1449.19
264,580,2024-08-26,2024-09-26,9550.74
265,112,2023-12-28,2024-08-24,225.0
266,1177,2023-12-29,2024-01-09,3136.1
267,691,2024-06-16,2024-08-26,7432.83
268,2963,2023-10-02,2024-02-01,8791.23
269,3079,2024-04-09,2024-08-21,9454.19
270,4052,2023-11-02,2024-09-06,4132.93
271,1439,2024-07-14,2024-08-09,7665.05
272,3651,2024-07-20,2024-08-01,2974.88
273,1574,2023-11-09,2024-08-29,6886.57
274,916,2023-10-24,2024-04-07,3951.77
275,1276,2024-04-29,2024-05-30,1747.35
276,4891,2024-07-06,2024-07-30,1517.24
277,2823,2023-10-30,2023-11-25,9213.93
278,1853,2024-05-10,2024-05-15,5636.33
279,3027,2023-11-11,2024-03-12,593.11
280,3496,2023-10-14,2024-01-29,3949.46
281,178,2024-08-08,2024-09-06,5922.55
282,2999,2023-11-25,2024-01-15,9155.13
283,4153,2024-05-19,2024-08-21,6929.94
284,1799,2024-08-18,2024-09-26,2919.44
285,1630,2024-07-06,2024-08-14,1922.34
286,4156,2024-07-18,2024-08-11,8473.38
287,3839,2024-03-08,2024-06-13,9353.14
288,2418,2024-08-12,2024-09-30,7176.17
289,3931,2024-03-12,2024-07-22,881.47
290,1415,2024-05-10,2024-08-27,1536.75
291,2547,2024-09-01,2024-10-05,8695.61
292,3076,2024-06-06,2024-07-29,8684.63
293,4271,2024-09-08,2024-09-16,7558.16
294,2632,2024-06-04,2024-07-19,8976.91
295,287,2024-07-17,2024-09-12,205.02
296,3087,2023-10-08,2024-01-01,5618.3
297,3033,2024-04-07,2024-08-12,9381.45
298,377,2024-08-18,2024-08-26,9929.8
299,2195,2024-04-24,2024-09-27,9323.53
300,2190,2024-02-17,2024-08-16,4020.17
301,685,2023-12-24,2024-05-26,9026.62
302,4979,2024-02-10,2024-03-24,6208.72
303,4495,2024-05-08,2024-09-13,1813.53
304,1539,2023-11-03,2024-07-29,780.13
305,3230,2024-07-02,2024-09-29,4118.45
306,2475,2024-06-27,2024-10-04,5623.92
307,2611,2024-06-17,2024-08-06,6540.22
308,1494,2024-01-02,2024-05-03,2779.71
309,4619,2024-02-09,2024-09-23,8079.29
310,1401,2024-03-01,2024-09-25,1421.36
311,2473,2024-06-19,2024-10-02,9000.4
312,982,2024-08-04,2024-08-14,6567.0
313,2858,2023-11-21,2024-01-25,5510.79
314,3749,2024-01-18,2024-08-06,7665.29
315,4032,2023-12-17,2024-09-19,4117.04
316,1428,2023-10-23,2024-05-26,6529.96
317,1299,2024-01-11,2024-03-01,7324.95
318,2040,2024-01-03,2024-06-14,9614.85
319,3894,2024-04-17,2024-09-20,5666.39
320,156,2023-09-27,2024-08-03,9821.29
321,3278,2024-05-10,2024-05-17,6437.94
322,1164,2023-12-24,2024-07-30,5080.44
323,4624,2024-08-02,2024-08-04,412.21
324,3941,2024-06-03,2024-06-07,9693.33
325,2996,2024-09-06,2024-09-30,5059.28
326,2314,2023-12-03,2024-06-11,165.64
327,3664,2024-05-30,2024-09-20,4902.31
328,1079,2024-08-02,2024-08-06,1483.43
329,111,2024-03-20,2024-09-25,9880.61
330,3326,2024-04-24,2024-06-25,3310.11
331,2839,2024-02-18,2024-09-19,398.5
332,3,2024-05-25,2024-06-05,2004.68
333,1261,2024-06-29,2024-09-21,7811.08
334,4665,2024-01-27,2024-08-05,7329.04
335,3014,2024-06-15,2024-07-14,8565.25
336,3604,2024-04-17,2024-07-09,5150.95
337,4989,2024-09-13,2024-09-17,4727.6
338,3809,2024-09-19,2024-09-27,7018.12
339,4548,2024-05-13,2024-06-03,180.47
340,2756,2024-07-06,2024-07-30,2119.64
341,1622,2024-05-22,2024-05-30,4448.6
342,2124,2024-02-12,2024-03-27,8803.22
343,2814,2023-10-03,2024-03-11,9872.92
344,1397,2023-12-20,2024-01-16,988.06
345,4630,2024-01-28,2024-06-17,9714.87
346,89,2024-03-23,2024-09-05,4030.02
347,2451,2023-10-27,2024-09-08,3277.19
348,2775,2024-06-21,2024-07-16,7388.8
349,634,2024-01-24,2024-07-15,3180.0
350,84,2023-11-03,2024-07-13,4016.09
351,3740,2024-06-17,2024-07-04,9644.91
352,2018,2024-01-14,2024-02-26,6964.99
353,4719,2024-07-24,2024-09-18,8044.78
354,2067,2024-08-07,2024-09-16,9496.01
355,3991,2024-05-21,2024-09-06,1719.1
356,3421,2024-07-27,2024-09-26,1266.54
357,479,2024-04-18,2024-05-01,2062.28
358,949,2023-09-27,2023-10-03,6866.81
359,1625,2023-10-22,2024-04-11,6789.12
360,1198,2024-07-17,2024-09-09,9614.98
361,3875,2024-07-11,2024-07-27,4424.83
362,3170,2024-09-09,2024-09-21,1680.0
363,2026,2024-02-19,2024-05-11,1007.74
364,2234,2024-09-23,2024-09-29,9759.91
365,54,2024-01-03,2024-05-24,425.18
366,4638,2024-07-27,2024-09-26,9524.24
367,2848,2024-05-14,2024-08-07,9887.41
368,2613,2024-06-19,2024-09-09,6101.16
369,1397,2024-08-03,2024-10-04,8276.2
370,2350,2024-06-30,2024-09-16,9887.16
371,2355,2023-11-12,2024-04-09,9171.54
372,1171,2024-05-07,2024-06-08,6211.86
373,3805,2024-04-09,2024-07-26,1764.07
374,4307,2024-01-30,2024-06-02,3369.49
375,498,2024-03-03,2024-03-05,1709.45
376,3870,2024-01-22,2024-02-17,4256.55
377,637,2024-03-12,2024-05-01,5660.32
378,1067,2023-10-19,2024-08-14,754.28
379,4560,2024-03-15,2024-08-13,6200.07
380,3683,2024-01-12,2024-09-18,2065.04
381,3239,2023-10-24,2024-03-31,2383.58
382,1775,2023-11-11,2024-07-17,2014.85
383,2235,2024-08-11,2024-09-15,1907.62
384,2621,2024-08-09,2024-09-11,6252.92
385,4332,2024-03-19,2024-08-17,1794.5
386,3633,2024-09-21,2024-09-29,8399.4
387,4680,2024-02-03,2024-08-05,1502.28
388,4384,2023-10-07,2024-04-12,3917.32
389,4560,2024-06-16,2024-06-26,7299.68
390,1735,2024-08-07,2024-08-25,5493.73
391,4642,2024-02-13,2024-09-29,5050.59
392,4488,2024-02-24,2024-04-06,8238.38
393,1879,2023-10-06,2024-01-27,4737.26
394,3141,2023-11-01,2024-10-01,8108.97
395,2397,2024-07-05,2024-08-14,1243.14
396,4042,2024-01-23,2024-05-17,6797.59
397,3430,2023-11-05,2024-02-23,9879.17
398,4897,2024-03-27,2024-08-02,1510.12
399,2458,2024-05-31,2024-07-22,385.58
400,345,2023-11-01,2023-11-30,9244.8
401,4824,2023-11-01,2023-11-23,4242.69
402,1283,2023-12-05,2024-07-06,5375.35
403,3320,2024-03-15,2024-05-20,9849.54
404,3617,2024-07-14,2024-07-16,348.29
405,160,2023-12-10,2023-12-28,3950.58
406,801,2023-10-14,2024-07-31,7321.78
407,786,2023-12-21,2024-06-18,3411.74
408,4303,2024-05-17,2024-07-21,9486.3
409,1047,2024-07-21,2024-08-10,6051.88
410,3721,2023-10-25,2024-03-31,4149.98
411,1664,2024-05-22,2024-05-28,2385.16
412,1410,2024-07-05,2024-09-11,8339.73
413,1154,2024-06-26,2024-09-23,5012.65
414,2685,2024-03-04,2024-05-12,963.34
415,2178,2024-08-10,2024-09-06,4176.97
416,3912,2024-01-19,2024-04-14,7178.18
417,1311,2024-07-25,2024-10-01,7003.99
418,2132,2024-07-04,2024-07-19,9223.83
419,4228,2024-05-31,2024-08-27,6801.04
420,3683,2024-09-04,2024-09-28,7062.29
421,621,2023-12-01,2024-05-15,9750.76
422,3531,2023-11-01,2024-04-02,7864.02
423,4431,2024-04-14,2024-04-26,4166.2
424,2294,2024-06-04,2024-06-15,527.5
425,4698,2024-03-12,2024-04-19,1502.78
426,2541,2023-11-19,2023-12-24,7571.28
427,4757,2024-03-06,2024-07-07,6496.82
428,4430,2024-06-20,2024-07-07,9300.41
429,3599,2024-02-15,2024-04-04,9009.97
430,2454,2024-07-27,2024-07-30,2467.73
431,3525,2024-02-29,2024-07-10,1683.32
432,2877,2024-06-29,2024-09-01,4181.21
433,23,2024-08-31,2024-09-16,6183.64
434,901,2024-06-21,2024-08-11,8724.82
435,2808,2023-12-29,2024-05-03,9899.47
436,1211,2024-02-22,2024-06-12,2104.91
437,612,2023-11-02,2024-06-18,1228.9
438,4896,2024-09-13,2024-09-15,1742.23
439,541,2024-05-16,2024-07-27,3061.78
440,3699,2024-04-28,2024-09-28,8900.85
441,1637,2024-01-13,2024-03-06,3035.76
442,1979,2024-02-20,2024-03-12,2237.36
443,4408,2024-07-14,2024-08-14,8385.25
444,376,2024-08-03,2024-10-04,3516.0
445,170,2024-05-29,2024-09-21,9783.79
446,2926,2024-03-12,2024-09-08,1009.4
447,2406,2024-06-18,2024-09-17,4498.1
448,2171,2024-01-16,2024-03-18,5565.4
449,3906,2024-02-28,2024-03-17,3195.17
450,3387,2023-12-24,2024-07-14,6149.33
451,4837,2023-12-14,2024-06-04,5695.8
452,3145,2023-11-03,2024-04-05,1292.88
453,4132,2024-07-10,2024-09-25,6864.49
454,70,2024-02-17,2024-06-12,7919.93
455,1730,2024-01-30,2024-04-25,7545.91
456,2711,2024-06-09,2024-08-04,4638.78
457,1025,2024-05-01,2024-08-09,5658.31
458,4346,2024-03-30,2024-08-20,8916.32
459,4774,2024-09-04,2024-09-12,6550.63
460,1042,2024-05-10,2024-08-19,1176.41
461,4465,2024-03-14,2024-04-16,8176.49
462,3320,2024-02-03,2024-03-07,8981.57
463,4429,2024-07-12,2024-09-26,778.72
464,3563,2024-04-11,2024-08-17,5191.42
465,3016,2023-10-31,2024-01-22,4941.98
466,1849,2024-02-21,2024-03-23,8446.86
467,4689,2024-05-29,2024-08-09,1673.89
468,2125,2024-05-21,2024-08-24,7644.33
469,319,2024-03-04,2024-06-17,9565.07
470,1706,2024-09-06,2024-09-24,7820.32
471,1433,2024-09-02,2024-09-04,9662.83
472,2350,2024-02-12,2024-06-27,967.31
473,1751,2023-11-09,2023-12-04,7340.82
474,4932,2024-08-23,2024-09-16,1605.99
475,1125,2023-11-11,2024-05-15,7395.13
476,3551,2024-06-21,2024-07-07,1233.27
477,3915,2024-02-25,2024-04-09,6308.34
478,2333,2023-10-22,2024-02-28,1187.14
479,2420,2024-07-02,2024-09-23,9870.48
480,3067,2024-07-22,2024-07-22,3703.96
481,2175,2024-02-05,2024-03-11,1782.18
482,674,2024-02-13,2024-04-03,6557.52
483,4913,2024-06-06,2024-06-06,7160.59
484,1103,2024-06-21,2024-09-04,1244.17
485,996,2024-02-06,2024-08-18,9762.64
486,532,2023-10-04,2024-08-25,4879.87
487,1547,2024-02-05,2024-04-13,5814.89
488,502,2024-04-09,2024-06-21,2630.64
489,1939,2023-10-07,2024-09-10,483.63
490,1168,2024-02-10,2024-05-04,6863.85
491,3798,2024-04-11,2024-08-26,8716.48
492,2831,2024-07-01,2024-07-21,5864.9
493,4672,2023-10-01,2023-12-16,1535.96
494,914,2024-02-18,2024-04-10,2010.7
495,3733,2023-11-07,2024-09-04,5741.39
496,2974,2023-12-16,2024-08-18,5354.24
497,322,2024-08-04,2024-08-28,9048.69
498,750,2024-05-14,2024-06-29,8485.84
499,2758,2023-12-17,2024-04-28,6531.84
500,1922,2024-01-27,2024-08-10,3950.25
501,3509,2023-10-28,2024-01-12,969.72
502,1431,2023-10-11,2024-02-02,391.6
503,1518,2024-02-19,2024-08-30,8812.8
504,2488,2024-09-16,2024-09-26,2433.37
505,4416,2024-09-13,2024-09-30,9446.23
506,940,2024-02-03,2024-06-23,5317.17
507,3955,2024-08-22,2024-09-14,870.22
508,3939,2024-09-06,2024-10-06,226.62
509,4035,2024-07-23,2024-08-06,2338.95
510,1272,2023-11-17,2023-12-05,3708.83
511,3762,2024-05-19,2024-07-20,1160.03
512,3703,2024-07-12,2024-08-18,3348.16
513,1401,2024-09-15,2024-09-27,1856.29
514,3626,2024-03-13,2024-06-09,3835.16
515,3877,2023-11-11,2023-11-11,1442.39
516,167,2024-01-14,2024-06-01,6410.6
517,4950,2024-07-26,2024-07-27,2996.0
518,4471,2023-09-29,2024-09-23,478.32
519,1420,2023-11-07,2024-01-11,953.67
520,3245,2023-12-17,2024-07-01,3627.82
521,1987,2024-06-24,2024-08-10,2827.88
522,1126,2024-03-01,2024-08-04,6267.46
523,73,2024-03-23,2024-04-18,8219.24
524,1372,2024-02-08,2024-08-09,9195.27
525,443,2023-11-26,2023-12-19,4263.32
526,3215,2024-01-02,2024-03-11,8548.0
527,3112,2024-01-02,2024-02-06,5282.14
528,1129,2024-03-02,2024-05-10,1865.38
529,4564,2024-08-17,2024-09-30,6532.73
530,4655,2024-07-30,2024-08-04,1022.89
531,3504,2024-02-05,2024-02-26,5986.34
532,3226,2023-09-28,2024-04-27,6811.72
533,4341,2024-05-04,2024-08-21,6094.82
534,334,2024-08-27,2024-08-29,6418.35
535,4938,2024-04-06,2024-08-27,1832.54
536,2736,2024-09-21,2024-10-05,3287.64
537,1183,2024-04-22,2024-08-10,5031.11
538,4238,2024-01-11,2024-05-20,7318.56
539,542,2024-05-21,2024-09-06,9566.25
540,3689,2024-01-12,2024-02-14,2627.26
541,91,2024-08-17,2024-08-19,9019.12
542,2672,2023-11-12,2024-07-20,8530.82
543,2985,2023-10-17,2024-04-07,7045.96
544,2092,2024-03-14,2024-09-18,9299.08
545,1398,2024-04-21,2024-06-18,5686.68
546,3202,2023-10-12,2023-12-01,7686.93
547,2621,2023-10-15,2024-05-15,1444.18
548,1823,2024-07-07,2024-08-09,3422.27
549,2588,2024-03-10,2024-06-22,7999.09
550,3909,2024-03-04,2024-04-12,6998.27
551,1712,2024-07-08,2024-09-18,7826.41
552,4643,2023-10-10,2023-11-27,4691.18
553,3230,2024-07-30,2024-09-30,7498.53
554,4279,2024-01-28,2024-08-28,9184.85
555,562,2024-03-10,2024-06-23,5568.53
556,564,2024-01-14,2024-03-02,829.23
557,4162,2024-06-01,2024-08-26,6884.4
558,1587,2024-09-02,2024-09-02,8790.71
559,1088,2024-05-27,2024-09-10,7229.11
560,3625,2024-05-14,2024-07-30,1274.71
561,142,2023-10-25,2024-01-13,4378.51
562,3023,2023-11-28,2024-06-07,7242.3
563,1012,2023-09-30,2024-09-26,5083.36
564,1865,2024-03-11,2024-08-14,6382.81
565,737,2024-04-01,2024-06-23,9506.94
566,2546,2024-03-26,2024-09-17,3210.91
567,4761,2024-07-01,2024-08-06,1206.67
568,2380,2024-07-20,2024-09-23,694.92
569,3819,2024-02-10,2024-07-28,8687.37
570,3425,2024-03-28,2024-09-11,2967.58
571,1506,2023-12-06,2024-01-17,6799.32
572,1722,2024-02-19,2024-07-14,1216.0
573,728,2023-10-21,2024-05-24,8251.09
574,1445,2024-03-13,2024-08-01,7001.61
575,1976,2024-09-20,2024-09-20,4644.44
576,730,2024-08-09,2024-08-24,7133.19
577,3624,2024-02-24,2024-04-01,1960.8
578,378,2024-03-20,2024-07-31,3756.24
579,492,2024-01-06,2024-08-07,8497.97
580,2788,2023-09-29,2024-01-24,1601.87
581,3810,2024-09-10,2024-09-29,1694.26
582,1081,2023-11-14,2024-03-20,3140.74
583,3597,2024-05-16,2024-08-17,8816.12
584,4987,2024-03-18,2024-07-30,2582.72
585,1279,2023-11-29,2024-07-17,5212.94
586,2318,2024-01-01,2024-06-04,1494.14
